"Dates","MR_RF","SMB","HML"
2001-08-13,0.0082,9e-04,-0.00015
2001-08-14,0.0068,0.000933333333333333,-0.00805
2001-08-15,0.0029,0.00486666666666667,0.0025
2001-08-16,-6e-04,0.00353333333333333,-0.0026
2001-08-17,-4e-04,0.0032,-0.0035
2001-08-20,-0.0044,0.00746666666666667,0.00295
2001-08-21,0.0012,-0.00493333333333333,0.0033
2001-08-22,0.0194,-0.00456666666666667,0.00745
2001-08-23,0.0046,-0.0035,-0.000750000000000001
2001-08-24,0.0117,0.00273333333333333,-0.0048
2001-08-27,0.0189,0.00243333333333333,-0.00065
2001-08-28,-0.0023,0.00163333333333333,0.00065
2001-08-29,-0.0068,0.00456666666666667,-0.0076
2001-08-30,-0.0063,0.00576666666666667,-0.004
2001-08-31,0.0014,-0.00386666666666667,-0.000199999999999999
2001-09-03,-0.0115,-0.00223333333333333,0.00895
2001-09-04,-8e-04,-0.000566666666666667,0.00145
2001-09-05,0.0058,-0.00223333333333333,0.0028
2001-09-06,-0.0089,6e-04,0.00565
2001-09-07,-0.0152,-0.00443333333333333,0.0022
2001-09-10,-0.0097,0.0039,0.0083
2001-09-11,-0.0243,-0.00456666666666667,0.0039
2001-09-12,-0.0445,0.0027,0.00235
2001-09-13,0.0206,-0.0021,0.0033
2001-09-14,-0.0198,-0.00496666666666667,-0.009
2001-09-17,-0.0183,0.000833333333333332,-0.005
2001-09-18,-0.014,-0.00106666666666667,-5e-04
2001-09-19,2e-04,-0.00533333333333333,0.0038
2001-09-20,-0.0434,0.0110666666666667,-0.00405
2001-09-21,-0.0252,0.0064,0.00035
2001-09-24,-2e-04,0,0
2001-09-25,0.0597,0.00653333333333333,-0.00425
2001-09-26,0.0213,-0.00136666666666667,0.01
2001-09-27,0.0056,-0.00286666666666667,0.001
2001-09-28,0.0199,0.00276666666666667,-0.0071
2001-10-01,8e-04,-2e-04,4.99999999999999e-05
2001-10-02,0.0094,-4e-04,0.00295
2001-10-03,0.0069,-0.000933333333333333,0.00205
2001-10-04,0.0396,-0.00153333333333333,-0.00265
2001-10-05,-0.0123,0.0012,-0.0038
2001-10-08,0.0051,-0.00343333333333333,-0.0047
2001-10-09,-0.0013,-0.0021,-0.0048
2001-10-10,-0.0094,-0.000233333333333334,0.0039
2001-10-11,0.0165,0.00126666666666667,-0.000499999999999999
2001-10-12,8e-04,0.0051,0.00615
2001-10-15,-0.0121,0.00273333333333333,-0.0094
2001-10-16,0.0282,0.00366666666666667,-0.00175
2001-10-17,-0.0024,-0.000266666666666666,0.0031
2001-10-18,-0.0171,0.00273333333333333,-0.0016
2001-10-19,-0.0027,-0.00393333333333333,-0.00825
2001-10-22,0.0094,-0.00396666666666667,0.00075
2001-10-23,0.0022,0.00386666666666667,0.0024
2001-10-24,-0.001,0.0018,-3e-04
2001-10-25,0.0011,0.00493333333333333,-0.00605
2001-10-26,-0.0026,0.00583333333333333,-0.001
2001-10-29,0.0053,0.00246666666666667,-0.00745
2001-10-30,-0.0139,-6.66666666666667e-05,-4.99999999999997e-05
2001-10-31,0.0051,-0.000233333333333334,0.0014
2001-11-01,0.0119,-0.0011,0.0021
2001-11-02,0.0081,0.00303333333333333,-0.00305
2001-11-05,0.0028,0.004,-0.00145
2001-11-06,-0.0119,0.0034,0.00425
2001-11-07,0.0064,0.000533333333333333,-0.0035
2001-11-08,-4e-04,-0.000833333333333333,-0.00315
2001-11-09,0.0027,-0.0028,0.00435
2001-11-12,0.0113,-0.00626666666666667,0.0021
2001-11-13,0.0143,-0.0023,-0.00145
2001-11-14,0.0291,-0.000233333333333335,0.0035
2001-11-15,0.0091,-0.00183333333333333,-0.0069
2001-11-16,-0.0191,0.00583333333333333,-0.0073
2001-11-19,0.0199,-0.0014,0.00155
2001-11-20,0.0015,0.00413333333333333,0.0042
2001-11-21,0.0044,0.00173333333333333,0.00315
2001-11-22,-0.0071,-0.000866666666666667,-0.00015
2001-11-23,-0.002,-0.00156666666666667,0.00135
2001-11-26,0.0116,-0.00126666666666667,-0.0014
2001-11-27,-0.0031,0.00463333333333333,0.0032
2001-11-28,-0.0086,-9e-04,0.00455
2001-11-29,-0.003,0.00136666666666667,0.0028
2001-11-30,0.0225,-0.00153333333333333,-0.00825
2001-12-03,0.0073,-0.0101666666666667,0.01185
2001-12-04,0.016,-0.0033,-0.0075
2001-12-05,0.0197,-0.00643333333333333,-0.01135
2001-12-06,0.0177,-0.0072,0.00305
2001-12-07,-0.0018,0.00353333333333333,-0.01
2001-12-10,0.0055,-0.0063,-0.00155
2001-12-11,-0.0208,-0.00246666666666667,-0.00375
2001-12-12,-0.0043,-0.0018,5e-04
2001-12-13,0.0143,0.00123333333333333,0.00305
2001-12-14,0.0481,-0.00386666666666667,-0.00505
2001-12-17,-2e-04,0,0
2001-12-18,0.0106,-0.0066,-0.00145
2001-12-19,0.0076,0.00533333333333333,-0.00525
2001-12-20,0.0355,2e-04,-0.0016
2001-12-21,-0.0556,3e-04,8e-04
2001-12-24,-0.0078,0.00466666666666667,0.00395
2001-12-25,-2e-04,0,0
2001-12-26,-2e-04,0,0
2001-12-27,-0.0073,0.00413333333333333,-0.0013
2001-12-28,0.0104,0,0.0019
2001-12-31,0.0081,0.0017,0.00225
2002-01-01,-2e-04,0,0
2002-01-02,0.0198,-0.00906666666666667,-0.0054
2002-01-03,0.0119,-0.00486666666666667,0.00775
2002-01-04,0.0039,0.00636666666666667,-0.00995
2002-01-07,-0.0026,0.0051,-7e-04
